id,question,option_a,option_b,option_c,option_d,correct_option
OIC-201-05-A,What are the main ethical principles of organ donation?,Presumed consent,Free donation,Anonymity between donor and recipient,Donation without compensation,option_a
OIC-201-03-B,What is the main rule for tissue compatibility assessment in organ transplants?,HLA typing of the donor and recipient,Blood group matching,Donor-recipient rhesus group matching,Cross-match test just before transplantation only,option_a
OIC-201-07-B,What is the primary criterion for diagnosing brain death?,Total absence of spontaneous motor activity,Abolition of all brainstem reflexes,Cerebral angiography showing cessation of encephalic circulation,Two null and reactive electroencephalograms for 30 minutes performed 4 hours apart,option_a
OIC-201-04-B,What is the main purpose of the Biomedicine Agency in organ transplantation?,To manage the national list of patients awaiting transplantation,To evaluate medical activities of transplantation teams,To promote organ donation and research,To coordinate organ harvesting and allocation,option_a
OIC-201-09-B,What is the main difference between a deceased donor after circulatory arrest and one who has suffered an uncontrolled out-of-hospital cardiac arrest?,Donors with circulatory arrest are considered 'living donors' because they have not stopped their heart,Both types of donors must undergo a thorough medical examination before donation can be approved,"The National Refusal Register (RNR) is only used to verify the donor's death in cases where there has been no cardiac arrest, but not for deceased donors after circulatory arrest",Donors who have suffered an uncontrolled out-of-hospital cardiac arrest are considered 'living donors' because they can still be revived with treatment,option_b
OIC-201-11-A,What is a key advantage of living donor kidney transplants?,Reduces waiting time for recipients,Increases recipient's waiting time,Allows pre-emptive transplants before the recipient starts extra-renal purification,Enables desensitization of the recipient with an anti-HLA antibody against a donor's HLA antigen,Reduces waiting time for recipients
OIC-201-02-A,What is the main difference between a kidney transplant and a cell transplant?,A kidney transplant involves removing a kidney from one person and replacing it with a donor kidney.,"A cell transplant involves using stem cells to grow new skin cells, which are then transplanted into the body.","A kidney transplant is performed on an individual who has lost their kidney due to disease or injury, while a cell transplant is used to treat certain medical conditions such as burns or wounds.",A kidney transplant involves removing a heart from one person and replacing it with a donor organ.,a
OIC-047-01-A,What is the age group of children?,2 years,Before puberty,After puberty,0-1 months,b
OIC-047-40-A,What is the main purpose of compulsory health examinations in children?,To identify potential health risks,To provide a routine check-up for all children,To prevent mental disorders and behavioral problems,To address obesity and environmental exposure,b
OIC-047-24-B,What is the typical age range for imaging in congenital hip dislocation?,6-12 months,1-2 years,3-4 months,9-18 months,c
OIC-047-17-A,What is dental caries?,A bacterial infection that causes teeth to rot,A condition where teeth are too big for their gums,A type of food that can cause tooth decay,A natural process that makes teeth stronger,a
OIC-047-34-A,What is the purpose of a school medicine check-up at age 11-13?,To identify and treat dental problems,To screen for hearing abnormalities,To assess socialization skills,To measure blood pressure,c
OIC-047-21-A,What is the purpose of regular hip examinations during follow-up visits with infants and children?,To monitor growth and development,To detect potential health issues early on,To assess muscle strength,To evaluate cognitive abilities,b
OIC-047-03-A,What is the purpose of a compulsory health examination for children?,To screen for dental disorders,To identify orthopedic anomalies,To assess the child's emotional and relational security,To evaluate their need to experience and explore the world,b
OIC-047-10-A,What is the typical age range for hearing screening in children?,6 months,9 months,24 months,36 months,b
OIC-047-14-A,What is a common definition of deafness in children?,A child who can hear sounds at 500 Hz,"A child who can hear sounds at 1,000 Hz","A child who can hear sounds at 2,000 Hz","A child who can hear sounds at 4,000 Hz",a
OIC-047-13-A,What is the primary indication for referring a child to an ENT specialist?,Family history of deafness,Language disorders at different stages,Absence of reaction to noises,"Warning signs include: Absence of reaction to noises, strong reactions to vibrations or touch, absence of reaction to being called or given a name, etc.",option_a
OIC-047-39-B,What is a common concern for adolescents undergoing follow-up examinations?,Eating disorders,Early or delayed puberty,Toxics,Behavioral disorders in children and adolescents,a
OIC-047-12-B,What is the primary purpose of an audiometry test in infants?,To detect hearing loss,To check for earwax buildup,To assess vestibular function,To evaluate speech and language skills,a
OIC-047-41-A,What percentage of children are victims of accidental deaths every year?,10%,20%,5%,30%,10%
OIC-047-04-A,What is the recommended systematic screening for visual disorders at birth?,At least one eye examination per month,One comprehensive eye check every six months,No eye examinations are necessary until 5 years of age,"Every year, with a focus on detecting very frequent anomalies",option_a
OIC-047-33-A,What is the main purpose of School Medicine?,To provide medical services to schoolchildren,To educate parents about child health,To promote physical education in schools,To conduct research on child development and growth,a
OIC-047-05-B,What is a common risk factor for visual disorders in children?,In utero exposure to toxic substances,Prematurity and low birth weight,Family history of strabismus,Deafness,option_a
OIC-047-20-B,What is a dental articulation disorder?,A joint disorder between the two dental arches,An open bite caused by an abnormal relationship between the maxillary and mandibular teeth,"Prognathia, which is a forward position of the upper jaw","Abutting incisors, where the front teeth touch each other",b
OIC-047-38-B,What is the main objective of a compulsory health examination for infants?,To identify and treat any existing medical conditions,To screen for potential future health issues,To provide general information about infant development,To assess the child's overall well-being and prevent illness,d
OIC-047-09-A,What is a common sign of poor vision in children?,Leukocoria,Torticollis,Nystagmus,Language delay,option_a
OIC-047-15-B,What is the primary purpose of using pure tone audiometry in children?,To assess hearing thresholds,To measure brain function,To evaluate visual acuity,To diagnose dental problems,option_a
